1000
0  1  Logic.CreateMainPlayerCommand  
0  2  Logic.CreatePlayerCommand  
33  2  Logic.CreateBuildingCommand  
66  1  Logic.CreateBuildingCommand  
683
1004(27680, 0, 1809363)    (12978, 0, -64244)
1005(5364, 0, -1855224)    (13411, 0, 64149)
1003(89400, 0, -1453233)    (13411, 0, 64149)
1004(29410, 0, 1800797)    (12978, 0, -64244)
1005(7152, 0, -1846671)    (13411, 0, 64149)
1003(91188, 0, -1444680)    (13411, 0, 64149)
1004(31140, 0, 1792231)    (12978, 0, -64244)
1005(8940, 0, -1838118)    (13411, 0, 64149)
1003(92976, 0, -1436127)    (13411, 0, 64149)
1004(32870, 0, 1783665)    (12978, 0, -64244)
1005(10728, 0, -1829565)    (13411, 0, 64149)
1003(94764, 0, -1427574)    (13411, 0, 64149)
1004(34600, 0, 1775099)    (12978, 0, -64244)
1005(12516, 0, -1821012)    (13411, 0, 64149)
1003(96552, 0, -1419021)    (13411, 0, 64149)
1004(36330, 0, 1766533)    (12978, 0, -64244)
1005(14304, 0, -1812459)    (13411, 0, 64149)
1003(98340, 0, -1410468)    (13411, 0, 64149)
1004(38060, 0, 1757967)    (12978, 0, -64244)
1005(16092, 0, -1803906)    (13411, 0, 64149)
1003(100128, 0, -1401915)    (13411, 0, 64149)
1004(39790, 0, 1749401)    (12978, 0, -64244)
1005(17880, 0, -1795353)    (13411, 0, 64149)
1003(101916, 0, -1393362)    (13411, 0, 64149)
1004(41520, 0, 1740835)    (12978, 0, -64244)
1005(19668, 0, -1786800)    (13411, 0, 64149)
1003(103704, 0, -1384809)    (13411, 0, 64149)
1004(43250, 0, 1732269)    (12978, 0, -64244)
1005(21456, 0, -1778247)    (13411, 0, 64149)
1003(105492, 0, -1376256)    (13411, 0, 64149)
1004(44980, 0, 1723703)    (12978, 0, -64244)
1005(23244, 0, -1769694)    (13411, 0, 64149)
1003(107280, 0, -1367703)    (13411, 0, 64149)
1004(46710, 0, 1715137)    (12978, 0, -64244)
1005(25032, 0, -1761141)    (13411, 0, 64149)
1003(109068, 0, -1359150)    (13411, 0, 64149)
1004(48440, 0, 1706571)    (12978, 0, -64244)
1005(26820, 0, -1752588)    (13411, 0, 64149)
1003(110856, 0, -1350597)    (13411, 0, 64149)
1004(50170, 0, 1698005)    (12978, 0, -64244)
1005(28608, 0, -1744035)    (13411, 0, 64149)
1003(112644, 0, -1342044)    (13411, 0, 64149)
1004(51900, 0, 1689439)    (12978, 0, -64244)
1005(30396, 0, -1735482)    (13411, 0, 64149)
1003(114432, 0, -1333491)    (13411, 0, 64149)
1004(53630, 0, 1680873)    (12978, 0, -64244)
1005(32184, 0, -1726929)    (13411, 0, 64149)
1003(116220, 0, -1324938)    (13411, 0, 64149)
1004(55360, 0, 1672307)    (12978, 0, -64244)
1005(33972, 0, -1718376)    (13411, 0, 64149)
1003(118008, 0, -1316385)    (13411, 0, 64149)
1004(57090, 0, 1663741)    (12978, 0, -64244)
1005(35760, 0, -1709823)    (13411, 0, 64149)
1003(119796, 0, -1307832)    (13411, 0, 64149)
1004(58820, 0, 1655175)    (12978, 0, -64244)
1005(37548, 0, -1701270)    (13411, 0, 64149)
